source_row_id,matched_standardizedItemId,confidence,decision,reason
451,KVI-FMCG-0039,0.922,match,"The competitor product 'Redbull Red Bull Energy Drink 150ml' exactly matches the master KVI candidate 'Red Bull Energy Drink 150ml' in terms of the brand ('Red Bull'), model ('Classic'), size (150ml), and units (ml)."
1329,KVI-FMCG-0053,1.0,match,"The competitor product 'Pringles Original 147g' exactly matches the master KVI candidate 'Pringles Original 147g' in brand ('Pringles'), model ('Original'), size (147g), and unit ('g')."
1003,KVI-FMCG-0076,0.9,match,"The competitor product, ""ดัชมิลล์ Dutch Mill UHT Milk 180ml Hot Deal"", matches exactly with the master list item ""Dutch Mill UHT Milk 180ml"" in terms of brand (Dutch Mill), model (UHT), pack size (180ml), and unit (ml). The only difference is the additional words 'Hot Deal' in the competitor product which is not part of the identified attributes."
386,KVI-ELEC-0022,0.95,match,"The competitor product 'Duracell Plus Power AA 8pcs' matches exactly with the master KVI candidate 'Duracell Plus Power AA 8pcs' in terms of brand 'Duracell', model 'Plus', pack size '8', and units 'pcs'."
122,KVI-FMCG-0083,0.95,match,"The competitor product 'Pantene Shampoo Smo. Silky 300ml' matches exactly with the KVI product 'Pantene Shampoo Smooth Silky 300ml'. Both items are from the brand 'Pantene', have the same model 'Smooth', and the pack size is exactly 300ml."
41,KVI-FMCG-0067,0.8486,match,"The competitor product 'Yum Yum Chickn Noodle 60g' matches exactly with the master list item 'Yum Yum Chicken Noodle 60g' in terms of brand 'Yum Yum', model 'Chicken', size 60g, and unit 'g'."
1503,KVI-FMCG-0037,0.8598,match,"The competitor product 'M-150 Energy Drink 150ml BUNDLE' matches with the master product 'M-150 Energy Drink 150ml' in brand 'M-150', model 'Original', pack size '150ml', and units as 'ml'. Although the competitor title includes 'BUNDLE', we consider it a match due to all other identifiers being consistent."
1379,KVI-FMCG-0106,1.0,match,"The competitor product 'Downy Concentrate Lavender 600ml' matches exactly with the master KVI candidate 'Downy Concentrate Lavender 600ml' in terms of brand 'Downy', model 'Lavender', pack size '600ml', and physical metric unit 'ml'."
10,KVI-ELEC-0006,0.735,match,"The competitor product 'Anker PowerLine USB-C 1.8m GIFT SET' matches the master list entry 'Anker PowerLine USB-C 1.8m' regarding brand (Anker), model (A8187), size (1.8), and unit (m). The only difference is the addition of 'GIFT SET', which does not affect the core product identification."
1096,KVI-FMCG-0098,0.99,match,"The competitor product 'นีเวีย Nivea Body Lotion Whitening 200ml' matches exactly with the master candidate 'Nivea Body Lotion Whitening 200ml'. Both have the same brand 'Nivea', model 'Whitening', size quantity of 200ml, and physical unit 'ml'."
262,KVI-FMCG-0041,0.9124,match,"Both competitor product and master product share the same brand 'Lipton', identical model 'Lemon', and they have the exact same pack size of 250ml."
1812,,0.0,no_match,The competitor product 'Random unbranded keychain 5pcs' does not match any items from the master list. The competitor product is unbranded and describes a different product type than the electronic items listed in the master KVI candidates.
1864,,0.0,no_match,"The competitor product is an iPhone 8, whereas the KVI master candidates are memory cards (SanDisk and Kingston). None of the brand, model, or product categories match, and the size descriptions are entirely different."
997,KVI-HARD-0031,0.928,match,"The competitor product 'Windex Glass Cleaner 500ml' matches exactly with the master KVI candidate 'Windex Glass Cleaner 500ml' in brand (Windex), size (500ml), and no other variants (color or flavor) are mentioned."
1797,,0.0,no_match,"The competitor product 'Plastic flower pot 6 inch' does not match any of the master KVI candidates. All available candidates are watering cans with different models, brands, and sizes. The description of the competitor product indicates a flower pot, not matching any elements of size, brand, or type with the candidates."
186,KVI-FMCG-0080,0.8375,match,"The competitor product 'Anchor Butter Slted 227g' matches the master KVI candidate 'Anchor Butter Salted 227g'. Brand 'Anchor' matches, model 'Salted' matches, and the pack size is 227g, which also matches exactly."
1646,KVI-HARD-0007,1.0,match,"The competitor product, 'บ๊อช Bosch Drill GSB 550 1pcs ใหม่!', exactly matches the master product 'Bosch Drill GSB 550 1pcs' in terms of brand (Bosch), model (GSB550), size (1pcs), and unit (pcs). There are no discrepancies in flavor, size, or variant, confirming a true match."
576,KVI-FMCG-0014,0.9515,match,"The competitor product 'Fanta Orange 1.25L' matches exactly with the master product 'Fanta Orange 1.25L' in terms of brand ('Fanta'), model ('Orange'), size (1.25), and unit ('L')."
1818,,0.0,no_match,Filtered by local retrieval layer: Similarity score fell well below minimum structural threshold.
936,KVI-ELEC-0021,1.0,match,"The competitor product 'Duracell Plus Power AA 4pcs' exactly matches the KVI master entry 'Duracell Plus Power AA 4pcs' in terms of brand (Duracell), model (Plus), size (4pcs), and unit (pcs). All attributes match exactly."
446,KVI-FMCG-0023,1.0,match,"The competitor product 'Heineken Lger 620ml' matches the master KVI candidate 'Heineken Lager 620ml' in all aspects: brand is 'Heineken', product name corresponds directly when correcting 'Lger' to 'Lager', size is 620ml, and unit is ml."
425,KVI-FMCG-0102,1.0,match,"The competitor product 'Tide Powder Detergent 3kg' matches exactly with a master entry 'Tide Powder Detergent 3kg' in terms of brand 'Tide', model 'Original', size quantity '3kg', and physical metric units."
458,KVI-ELEC-0030,0.9,match,"The competitor product 'Kingston DataTraveler 64GB 1pcs x12 PACK' matches exactly in brand 'Kingston', model 'DT100', and size '64GB 1pcs'. Although the competitor mentions a pack of 12, it does not alter the core product details such as size and brand, confirming it as a match."
1183,KVI-FMCG-0108,0.95,match,"The competitor product 'Downy Concentrate Lavender 2.8L BIG SALE' matches exactly with the master product 'Downy Concentrate Lavender 2.8L' in brand ('Downy'), model ('Lavender'), size (2.8L), and unit (L). There are no discrepancies in flavor or variant. Therefore, it is a confirmed match."
1962,,0.0,no_match,"The competitor product 'Cute cat ear hairband' does not match any items in the canonical master list. None of the candidates (Logitech Wireless Mouse, JBL Tune Wireless Earbuds, Magic Mop Spin 360) share the same brand, model, size, or category."
525,KVI-FMCG-0037,0.9715,match,"The competitor product 'M-150 Energy Drink 150ml Limited!' matches the master item with ID 'KVI-FMCG-0037' as they share the same brand 'M-150', product name 'M-150 Energy Drink 150ml', size '150ml', and all physical metric units match exactly."
944,KVI-FMCG-0010,1.0,match,"The competitor product 'Sprite Lemon-Lime 325ml' matches exactly with the master entry 'Sprite Lemon-Lime 325ml'. Both have the same brand 'Sprite', size '325ml', and there are no discrepancies in the flavor or variant."
1141,KVI-FMCG-0002,0.95,match,"The competitor product 'Coca-Cola Original Taste 500. x12 PACK' matches the KVI master list item 'Coca-Cola Original Taste 500ml'. The brand is 'Coca-Cola', the model is 'Classic', and the size is 500ml. The competitor's description indicates a pack of 12, which does not alter the product's identity."
815,KVI-FMCG-0070,0.9581,match,"The competitor product 'Foremost Fresh Milk 450ML' matches exactly with the master KVI candidate 'Foremost Fresh Milk 450ml' in terms of brand ('Foremost'), model ('Fresh'), pack size (450.0 ml), and units (ml). The only difference is case in the unit (ml vs ML), which does not affect the match."
1975,,0.0,no_match,"The competitor product 'DIY craft glue gun mini' does not match any items in the master KVI candidates based on brand, model, and product type. The available candidates are all glue products from 'Loctite' with specific sizes (3g and 5g), while the competitor's product is a glue gun and not a glue container, hence no match."
855,KVI-FMCG-0083,0.95,match,"The competitor product 'แพนทีน Pntene Shampoo Smooth Silky 300ml' matches the master product 'Pantene Shampoo Smooth Silky 300ml' in terms of brand (Pantene), model (Smooth), and size (300ml). All details are consistent and aligned."
824,KVI-HARD-0003,0.9612,match,"The competitor product '3M Duct Tape Silver 48mm' matches exactly with the master item '3M Duct Tape Silver 48mm' in brand, model, size (48mm), and unit (mm)."
70,KVI-HARD-0042,0.9546,match,"The competitor product 'Watering Can Plastic 10L' matches the master KVI candidate 'Watering Can Plastic 10L' with identical size (10L), brand (Generic), model (Plastic), and packaging specifications."
115,KVI-ELEC-0039,0.8188,match,"The competitor product 'Samsung Gal. Buds 2 1pcs x12 PACK' matches with the master list item 'Samsung Galaxy Buds 2 1pcs'. Both have the same brand 'Samsung', model 'Buds2', pack size of 1.0 pcs. The only variation is the competitor entry denotes a '12 PACK', which is not present in the master list, but since the core product and its identifiers match, the product is deemed a match."
294,KVI-FMCG-0066,1.0,match,"The competitor product 'WaiWai Ori. 90g' matches exactly with the master product 'WaiWai Original 90g' in terms of brand (WaiWai), model (Original), size (90g), and unit (g). Thus, the comparison confirms a true match."
1711,KVI-FMCG-0076,1.0,match,"The competitor product 'Dutch Mill UHT Milk 180ml GIFT SET' matches the master list item 'Dutch Mill UHT Milk 180ml'. Both have the same brand 'Dutch Mill', model 'UHT', size of 180ml, and appropriate units. No differences in flavor, variant, or size noted."
1783,,0.0,no_match,"The competitor product 'Plastic flower pot 6 inch' does not match any items in the master KVI candidates. The available candidates are watering cans and a dish sponge, which are different products and do not match the brand, product type, or size."
565,KVI-FMCG-0063,0.9174,match,"The competitor product 'MAMA Pork Flavor 55g' exactly matches the master list item with standardizedItemId 'KVI-FMCG-0063' on all attributes: brand 'MAMA', model 'Pork', size 55g."
1038,KVI-FMCG-0030,0.8938,match,"The competitor product 'Crystal Drinking Water 1.5L' matches exactly with the master item 'Crystal Drinking Water 1.5L'. Both have the same brand 'Crystal', model 'Water', package size of 1.5L, and the unit of measurement as liters. No discrepancies in flavor, size, or other attributes were found."
1209,KVI-FMCG-0084,1.0,match,"The competitor product 'Pantene Shampoo Smooth Silky 480ml' matches exactly with the master list item 'Pantene Shampoo Smooth Silky 480ml' in terms of brand (Pantene), model (Smooth), size (480ml), and units (ml)."
1164,KVI-FMCG-0097,0.9,match,"The competitor product, 'นีเวีย Nivea Body Lotion Whi. 100ml', matches the master list item 'Nivea Body Lotion Whitening 100ml' because both products share the same brand 'Nivea', the same model 'Whitening', the same size of '100ml', and the unit is 'ml'. No discrepancies in flavor, variant, or unlisted product are found."
986,KVI-HARD-0027,0.9578,match,"The competitor product 'Rubber Gloves Yellow 1pcs' matches exactly with the master candidate 'Rubber Gloves Yellow 1pcs' in terms of name, size (1pcs), and unit (pcs). Brand identifiers are not the same (Competitor does not specify a brand, while master is Scotch-Brite), but the model and product description align."
808,KVI-FMCG-0003,0.786,match,"The competitor product 'โค้ก Coca-Cola Original Taste 1.25L' matches exactly with the master product 'Coca-Cola Original Taste 1.25L' in terms of brand (Coca-Cola), model (Classic), size (1.25L), and unit (L). The competitor product does not indicate a different flavor or variant."
1724,KVI-FMCG-0082,0.9,match,"The competitor product 'Pantene Shampoo Smooth Silky 170' has the same brand 'Pantene', model 'Smooth', size quantity '170', and unit 'ml' as the master KVI candidate product 'Pantene Shampoo Smooth Silky 170ml'. The only difference is the title formatting, which does not affect the match."
1374,KVI-FMCG-0042,0.8187,match,"The competitor product 'Lipton Lemon Tea 450ml Hot Deal' matches the master entry 'Lipton Lemon Tea 450ml' in terms of brand 'Lipton', model 'Lemon', and pack size of 450ml. The phrase 'Hot Deal' does not affect the matching criteria."
1665,KVI-FMCG-0090,0.9736,match,"The competitor product 'Dove Body Wash Original 500ML' matches exactly with the master KVI candidate 'Dove Body Wash Original 500ml' in brand, model, pack size (500ML = 500ml), and unit (ml). Therefore, this is a confirmed match."
241,KVI-FMCG-0065,0.9344,match,"The competitor product 'WaiWai Original 60g' matches exactly with the master product 'WaiWai Original 60g' in terms of brand, model, and pack size (60g)."
31,KVI-ELEC-0012,0.704,match,"The competitor product 'Anker PowerCore 10000 1pcs' matches exactly with the KVI master product with standardizedItemId 'KVI-ELEC-0012' in terms of brand (Anker), model (A1263), pack size (1.0 pcs), and product name. The description and identifiers align precisely."
1713,KVI-ELEC-0015,0.8579,match,"The competitor product 'เอเนอร์ไจเซอร์ Energizer Max AA 2pcs' matches exactly with the master list entry 'Energizer Max AA 2pcs' in brand, model, size (2pcs), and unit (pcs)."
133,KVI-ELEC-0019,0.9,match,"The competitor product 'Energizer Mx AAA 4pcs' matches the master KVI candidate 'Energizer Max AAA 4pcs' based on the identical brand 'Energizer', model 'Max', pack size '4pcs', and unit 'pcs' without any discrepancies in the flavor or product variant."
288,KVI-HARD-0026,0.968,match,"The competitor product 'Scotch-Brite Dish Sponge 6pcs' matches exactly with the master KVI item 'Scotch-Brite Dish Sponge 6pcs'. The brand 'Scotch-Brite' is the same, and both products have a pack size of 6.0 pcs, fully matching in terms of size, unit, and brand presence."
921,KVI-FMCG-0034,1.0,match,"The competitor product 'Nestle Pure Life Water 330ml' has the same brand 'Nestle', the same model 'Pure Life', the same size '330ml', and the same physical metric unit 'ml' as the master list item with ID 'KVI-FMCG-0034'. All identifiers match exactly."
1988,,0.0,no_match,"The competitor product 'Yoga mat 6mm thick blue' does not match any items from the master list in terms of brand, model, or product category. The master KVI candidates are all 3M Microfiber Cloths and Duct Tape, which are entirely different products."
1298,KVI-FMCG-0049,1.0,match,"The competitor product 'Lay's Sour Cream Onion 28g ใหม่!' matches exactly with the master list item 'Lay's Sour Cream Onion 28g'. Both have the same brand 'Lay's', model 'Sour Cream', pack size of 28g in the correct unit, and no differing flavor or variant."
1650,KVI-ELEC-0027,0.9469,match,"The competitor product 'Osram LED Bulb 12W Cool 1pcs' matches exactly with the master KVI candidate 'Osram LED Bulb 12W Cool 1pcs' based on brand, model name, pack size, and unit. All identifiers are consistent."
1147,KVI-HARD-0014,1.0,match,"The competitor product 'Glad Trash Bag Black 30 Gallon 30pcs' matches exactly with the master product 'Glad Trash Bag Black 30 Gallon 30pcs' in brand, model, size quantity (30 pcs), and units (pcs)."
1491,KVI-FMCG-0103,0.95,match,"The competitor product 'Comfor Comfort Fabric Softener Pink 600ml' matches with the master product 'Comfort Fabric Softener Pink 600ml'. The brand 'Comfort' matches, model 'Pink' matches, size '600ml' matches and the unit 'ml' matches exactly."
62,KVI-HARD-0012,0.9199,match,"The competitor product 'Magic Mop Spin 360 1pcs' matches exactly with the master list item: brand 'Magic', model 'Spin360', size '1 pcs' with a unit of 'pcs', confirming the match criteria."
721,KVI-FMCG-0104,0.8073,match,"The competitor product 'คอมฟอร์ท Comfort Fabric Softener Pink 1.4L' matches exactly with the master list item 'Comfort Fabric Softener Pink 1.4L' in terms of brand ('Comfort'), model ('Pink'), pack size (1.4L), and unit ('L')."
1905,,0.0,no_match,"The competitor product 'Cooking apron floral pattern' does not match any item from the master list based on brand, model, size, or unit criteria."
607,KVI-FMCG-0082,0.9,match,"The competitor product 'Pantene Sha. Smooth Silky 170ml' matches the master item 'Pantene Shampoo Smooth Silky 170ml' by the same brand (Pantene), model (Smooth), exact size (170ml), and no differences in flavor or variant."
270,KVI-FMCG-0047,0.8112,match,"The competitor product 'เลย์ Lay's Classic Salted 75g BUNDLE' and the master KVI item 'Lay's Classic Salted 75g' match on brand 'Lay's', model 'Classic', size '75g', and unit 'g'. The presence of 'BUNDLE' is not a variation in product specifications, and they effectively refer to the same product."
1270,KVI-FMCG-0028,0.8667,match,"The competitor product 'Crystl Drinking Water 350ML' matches the master product 'Crystal Drinking Water 350ml' in brand (Crystal), model (Water), size (350ML), and unit (ml). The only difference is the spelling of the brand 'Crystl' vs 'Crystal', which is considered as a typographical error."
106,KVI-FMCG-0093,0.95,match,"The competitor product 'Colgate Toothpaste Total 100g' matches exactly with the master list item 'Colgate Toothpaste Total 100g' in brand, model, size (100g), and unit (g). The similarity score of 0.949 indicates a strong match."
239,KVI-FMCG-0043,0.9,match,"The competitor product 'Nescfe Original 180ml' matches the master KVI item 'Nescafe Original 180ml' on brand (Nescafe), model (Original), pack size (180ml), and unit (ml). The similarity in titles, along with the exact matching size, verifies the match."
648,KVI-HARD-0028,0.9541,match,"The competitor product 'Rubber Gloves Yellow 2pcs' matches with the master list item 'Rubber Gloves Yellow 2pcs' from Scotch-Brite. Both have the same brand (Scotch-Brite), model (Heavy), size (2pcs), and unit (pcs), confirming an exact match."
1174,KVI-FMCG-0050,0.9186,match,"The competitor product 'Lays Lay's Sour Cream Onion 50g' matches exactly with the KVI master list entry 'Lay's Sour Cream Onion 50g'. Both share the same brand 'Lay's', model 'Sour Cream', pack size '50g', and unit 'g'."
1790,,0.0,no_match,Filtered by local retrieval layer: Similarity score fell well below minimum structural threshold.
1056,KVI-FMCG-0108,0.9444,match,"The competitor product 'Downy Concentrate Lavender 2.8L' matches exactly with the master candidate 'Downy Concentrate Lavender 2.8L'. Brand 'Downy', model 'Lavender', size '2.8L', and unit 'L' are all identical."
1121,KVI-HARD-0030,0.95,match,"The competitor product matches the brand 'Clorox', product name 'Disinfecting Wipes', size '75pcs', and unit 'pcs' exactly as per the KVI master entry."
1396,KVI-FMCG-0052,0.9,match,"The competitor product 'Pringles Original 110g' matches exactly with the master KVI entry 'Pringles Original 110g' in terms of brand, model, size (110g), and unit (g)."
242,KVI-HARD-0022,1.0,match,"The competitor product 'IKEA SAMLA Box Clear 11L' exactly matches the KVI master item 'IKEA SAMLA Box Clear 11L' in brand 'IKEA', model 'SAMLA', size '11L', and units 'L'."
980,KVI-ELEC-0021,0.9538,match,"The competitor product 'Duracell Plus Power AA 4pcs' matches exactly with the master entry 'Duracell Plus Power AA 4pcs' in brand, model, pack size, and unit."
1169,KVI-FMCG-0115,0.8831,match,"The competitor product 'Magiclean Bathroom Spray 500' matches with the master entry 'Magiclean Bathroom Spray 500ml'. Both have the same brand 'Magiclean', model name is implicitly the same as 'Original' for the bathroom spray, and pack size of 500 matches 500ml."
1894,,0.0,no_match,"The competitor product 'Cooking apron floral pattern' does not match any items from the master list which are fabric softeners or sponges. There are no brand, model, size, or unit matches."
67,KVI-HARD-0033,0.9579,match,"The competitor product 'Glade Air Freshener Lavender 250ml' matches exactly with the master entry 'Glade Air Freshener Lavender 250ml' on brand, model, size quantity (250ml), and unit (ml)."
1910,,0.0,no_match,"The competitor product 'Cute cat ear hairband' does not match any of the master KVI candidates in terms of brand, model, size, or category."
564,KVI-HARD-0023,0.9483,match,"The competitor product is 'IKEA SAMLA Box Clear 22L', which matches exactly with the master list item 'IKEA SAMLA Box Clear 22L' in terms of brand (IKEA), model (SAMLA), size (22L), and unit (L)."
352,KVI-HARD-0042,0.8712,match,"The competitor product matches the master list item in brand (Generic), model (Plastic), size (10L), and unit (L). The only difference is the presence of 'BIG SALE' in the competitor's title which does not alter the product identification."
1551,KVI-FMCG-0073,0.8689,match,"The competitor product 'Meiji Fresh Milk 200ML BIG SALE' matches with the KVI master item 'Meiji Fresh Milk 200ml'. Both items share the same brand 'Meiji', model 'Fresh', and size '200ml'. The units are also consistent, thus confirming an exact match."
388,KVI-HARD-0028,0.9541,no_match,"The competitor product 'Rubber Gloves Yellow 2pcs' does not match the master item because the brand is not identical; the master item is from 'Scotch-Brite', whereas the competitor's brand is unspecified."
1771,,0.0,no_match,"The competitor product title 'DIY craft glue gun mini' does not match any of the master KVI candidates. The master candidates are all different products related to adhesive glues and a drill, which do not contain any mention of a glue gun, indicating a different type of product altogether."
1062,KVI-FMCG-0094,0.99,match,"The competitor product 'คอลเกต Colgate Toothpaste Total 150g' exactly matches the master item 'Colgate Toothpaste Total 150g' in brand (Colgate), model (Total), pack size (150g), and unit (g). No discrepancies detected."
1795,,0.0,no_match,"The competitor product 'Cooking apron floral pattern' does not match any available items from the master KVI candidates in terms of brand, model, or product category. All candidates are fabric softeners or sponges, while the competitor product is an apron."
1496,KVI-ELEC-0021,0.9182,match,"The competitor product 'Duracell Plus Pow. AA 4pcs' matches the master entry 'Duracell Plus Power AA 4pcs' in brand (Duracell), model (Plus), pack size (4pcs), and unit (pcs), confirming it is the same product."
167,KVI-ELEC-0004,0.9,match,"Brand 'Apple' matches, model 'MX0K2' corresponds to 'USB-C to Lightning 2m', size is 2m which is equivalent as both items state the same dimension, and the product descriptor aligns correctly without any flavor or variant discrepancies."
203,KVI-FMCG-0005,0.9551,match,"The competitor product 'Coca-Cola Original Taste 2L' matches the master list entry 'Coca-Cola Original Taste 2L' based on brand 'Coca-Cola', size '2L', and physical unit 'L'. All identifiers align correctly."
1015,KVI-FMCG-0098,0.963,match,"The competitor product 'Nivea Body Lotion Whitening 200ml' matches exactly with the master product 'Nivea Body Lotion Whitening 200ml' in terms of brand (Nivea), model (Whitening), pack size (200ml), and unit (ml). Thus, they are identified as a match."
1220,KVI-ELEC-0034,0.7513,match,"The competitor product 'Anker HDMI Cable 1.8m GIFT SET' matches the master product 'Anker HDMI Cable 1.8m' in terms of brand (Anker), model presence, size (1.8m), and unit (m). All critical identifiers are consistent, confirming a true match."
908,KVI-FMCG-0010,0.9,match,"The brand 'Sprite' matches. The model is 'Classic' and the product name contains 'Lemon-Lime', which is inferred from 'Lem.' in the title. The size is 325ML, which converts to 325.0 ml, and the unit corresponds perfectly. Therefore, this is a match."
534,KVI-FMCG-0068,0.8874,match,"The competitor product 'Yum Yum Chicken Noodle 90g' matches exactly with the master KVI candidate with standardizedItemId 'KVI-FMCG-0068' in terms of brand ('Yum Yum'), model ('Chicken'), size (90g), and unit (g)."
1924,,0.0,no_match,"The competitor product 'Plastic flower pot 6 inch' does not match any of the available master candidates. None of the KVI candidates have a similar product type or size to the competitor, which specifically describes a flower pot, while all available candidates are watering cans or dish sponges."
937,KVI-ELEC-0031,0.9413,match,"The competitor product 'Apple AirPods Pro 2nd Gen 1pcs' matches the master list item 'Apple AirPods Pro 2nd Gen 1pcs' based on the identical product name, brand ('Apple'), and size ('1pcs')."
72,KVI-ELEC-0034,0.8491,match,"The competitor product 'Anker HDMI Cable 1.8m' matches the master product 'Anker HDMI Cable 1.8m' in terms of brand (Anker), model (A8602), size (1.8m), and unit (m) exactly."
1738,KVI-HARD-0013,0.8455,match,"The competitor product 'Glad Trash Bag Black 30 Gallon 15p' matches the master product 'Glad Trash Bag Black 30 Gallon 15pcs' in brand (Glad), model (Strong), size (30 Gallon), and quantity (15pcs). The minor variation in '15p' compared to '15pcs' is acceptable as they refer to the same quantity of pieces."
344,KVI-FMCG-0095,0.9642,match,"The competitor product 'Sensodyne Toothpaste Original 75g' matches the master list entry with the exact brand 'Sensodyne', model 'Original', size 75g in units of grams. Both titles and other product attributes are equivalent, confirming a true match."
1380,KVI-FMCG-0091,0.97,match,"The competitor product 'Dove Body Wash Original 1L' matches exactly with the master KVI candidate: 'Dove Body Wash Original 1L'. Both have the same brand 'Dove', the same model 'Original', and the size of 1L matches the expected pack size of 1.0L."
1634,KVI-HARD-0012,0.92,match,"The competitor product 'Magic Mop Spin 360 1pcs' matches exactly with the master candidate 'Magic Mop Spin 360 1pcs' in terms of brand, model name, size (1pcs), and physical unit (pcs). The confidence score is high at 0.92, indicating a strong match."
1789,,0.0,no_match,"The competitor product is a 'Cooking apron floral pattern', which does not match any of the master KVI candidates, which are all fabric softeners and dish sponges. Therefore, no match can be made."
1613,KVI-ELEC-0001,0.8501,match,"The competitor product is 'Apple Lightning USB Cable 1m', which matches the brand 'Apple', model 'MD818', size '1m', and units 'm' exactly with the master entry."
1944,,0.0,no_match,"The competitor product 'Cooking apron floral pattern' does not match any items in the master list due to different product category (apron vs fabric softener) and lack of matching identifiers like brand, model, and size."
703,KVI-ELEC-0031,0.8843,match,"The competitor product 'Apple AirPods Pro 2nd Gen 1pcs' matches the master list entry 'Apple AirPods Pro 2nd Gen 1pcs'. Brand is 'Apple', model is 'A2698', size is '1 pcs', and the units match exactly."
1733,KVI-HARD-0026,0.9681,match,"The competitor product 'Scotch-Brite Dish Sponge 6pcs PACK 12' matches with the master list entry 'Scotch-Brite Dish Sponge 6pcs' in terms of brand (Scotch-Brite), model (Soft), size (6pcs), and unit (pcs). No discrepancies in flavor or variant were identified, confirming it as a true match."
1153,KVI-ELEC-0003,0.8729,match,"The competitor product 'Apple USB-C to Lightning 1m' matches exactly with the master KVI entry 'Apple USB-C to Lightning 1m'. The brand 'Apple', model 'MX0K2', size 1m and unit 'm' all align perfectly, confirming it as a match."
1858,,0.0,no_match,"The competitor product is 'Yoga mat 6mm thick blue', which is a yoga mat. The KVI candidates are all various products related to microfiber cloths and duct tape, which do not match in brand, model, size, or category. Therefore, there is no match."
1767,,0.0,no_match,"The competitor product is a DIY craft glue gun mini, which does not match any item from the KVI master list based on brand, model, or product type."
1263,KVI-ELEC-0013,0.95,match,"The competitor product 'Xiaomi Mi Power Bank 20000 1pcs x12 PACK' matches the master list item with ID KVI-ELEC-0013, which is 'Xiaomi Mi Power Bank 20000 1pcs'. Both have the same brand 'Xiaomi', the model components match since model 'PLM18ZM' is equivalent to the power bank model mentioned, and size/quantity of 1pcs is consistent with the master listing."
1995,,0.0,no_match,"The competitor product 'Random unbranded keychain 5pcs' does not match any item in the master list. The brand identifiers and product description do not align with the provided candidates, which include electronic items from specific brands (Anker and Kingston), along with different product types and pack sizes (1pcs). Therefore, this is considered a 'no_match'."
330,KVI-ELEC-0029,1.0,match,"The product matches exactly on brand 'SanDisk', model 'Ultra', size '128GB', quantity '1', and unit 'pcs'."
1670,KVI-FMCG-0080,0.9229,match,"The competitor product 'Anchor Butter Salted 227g' exactly matches the master product 'Anchor Butter Salted 227g' in brand, model, size, and unit."
132,KVI-FMCG-0085,0.8806,match,"The brand 'Pantene' matches exactly, the model name 'Smooth' matches the competitor title, the size of '650ml' matches perfectly, and the product description aligns with the item from the master list. No discrepancies in size, flavor, or variant."
654,KVI-ELEC-0024,0.8936,match,"The competitor product 'Pan. Eneloop AA 4pcs' matches exactly with the master product 'Panasonic Eneloop AA 4pcs' in terms of brand ('Panasonic'), model ('Eneloop'), pack size (4 pcs), and unit ('pcs')."
